
🧠 OpenClaw Memory System - REST API v1.1.0
==============================================
Server running on http://localhost:3001

📖 API Documentation: http://localhost:3001/api
🌐 Web Dashboard:     http://localhost:3001/
📊 Stats:             http://localhost:3001/stats
🏥 Health:            http://localhost:3001/health



[OpenClaw Memory] ℹ️  OpenClaw Memory System initialized (Delegated AI)
[OpenClaw Memory] ⚠️  Minimax Embedding rate limited. Retrying in 7s (attempt 1/5)...
[OpenClaw Memory] ⚠️  Minimax Embedding rate limited. Retrying in 6s (attempt 1/5)...
[OpenClaw Memory] ⚠️  Minimax Embedding rate limited. Retrying in 11s (attempt 2/5)...
[OpenClaw Memory] ⚠️  Minimax Embedding rate limited. Retrying in 10s (attempt 2/5)...
[OpenClaw Memory] ⚠️  Minimax Embedding rate limited. Retrying in 22s (attempt 3/5)...
[OpenClaw Memory] ⚠️  Minimax Embedding rate limited. Retrying in 21s (attempt 3/5)...
[OpenClaw Memory] ⚠️  Minimax Embedding rate limited. Retrying in 41s (attempt 4/5)...
[OpenClaw Memory] ⚠️  Minimax Embedding rate limited. Retrying in 6s (attempt 1/5)...
[OpenClaw Memory] ⚠️  Minimax Embedding rate limited. Retrying in 41s (attempt 4/5)...
[OpenClaw Memory] ⚠️  Minimax Embedding rate limited. Retrying in 12s (attempt 2/5)...
[OpenClaw Memory] ⚠️  Minimax Embedding rate limited. Retrying in 21s (attempt 3/5)...
[OpenClaw Memory] ⚠️  Minimax Embedding rate limited. Retrying in 6s (attempt 1/5)...
[OpenClaw Memory] ⚠️  Minimax Embedding rate limited. Retrying in 7s (attempt 1/5)...
[OpenClaw Memory] ⚠️  Minimax Embedding rate limited. Retrying in 11s (attempt 2/5)...
[OpenClaw Memory] ⚠️  Minimax Embedding rate limited. Retrying in 10s (attempt 2/5)...
[OpenClaw Memory] ⚠️  Minimax Embedding rate limited. Retrying in 41s (attempt 4/5)...
[OpenClaw Memory] ⚠️  Minimax Embedding rate limited. Retrying in 22s (attempt 3/5)...
[OpenClaw Memory] ⚠️  Minimax Embedding rate limited. Retrying in 22s (attempt 3/5)...
